Benchmark Suite,Benchmark ,GC Algorithm,Throughput,Total Pause Time (ms),Avg Pause Time (ms),Total Concurrent Time (ms),Avg Concurrent Time (ms),Total GC Time (ms),Avg GC Time (ms),Full GC Total Time (ms),Full GC Avg Time (ms),Young GC Total Time (ms),Young GC Avg Time (ms),Young Generation Allocation (mb),Old Generation Allocation (mb),Meta Space Allocation (mb)
Dacapo,avrora,ZGC,100.00%,0.053,0.0177,23.1,23.1,,,,,,,,,
Dacapo,avrora,Serial,99.79%,20,20,,,20,20,20,20,,,614.5,1361.92,4
Dacapo,avrora,Parallel,99.90%,10,5,,,10,5,10,10,,,597.5,1361.92,4
Dacapo,avrora,G1,99.45%,50,25,,,,,30,30,20,6.67,48,64,4
Dacapo,batik,ZGC,100.00%,0.051,0.017,20.4,20.4,,,,,,,,,
Dacapo,batik,Serial,,,,,,,,,,,,614.5,1361.92,11.94
Dacapo,batik,Parallel,99.37%,20,10,,,20,10,20,20,,,597.5,1361.92,11.94
Dacapo,batik,G1,96.67%,80,20,,,,,20,20,60,15,96,992,11.94
Dacapo,eclipse,ZGC,100.00%,0.052,0.0173,26.5,26.5,,,,,,,,,
Dacapo,eclipse,Serial,99.15%,20,20,,,20,20,20,20,,,614.5,1361.92,4.62
Dacapo,eclipse,Parallel,99.39%,30,15,,,30,15,20,20,,,597.5,1361.92,4.62
Dacapo,eclipse,G1,98.63%,30,30,,,,,30,30,,,16,144,4.62
Dacapo,fop,ZGC,100.00%,0.058,0.0193,29.5,29.5,,,,,,,,,
Dacapo,fop,Serial,96.17%,90,90,,,90,90,90,90,,,614.5,1361.92,10.69
Dacapo,fop,Parallel,98.42%,40,20,,,40,20,20,20,,,597.5,1361.92,10.75
Dacapo,fop,G1,95.28%,100,25,,,,,30,30,70,14,80,1008,10.75
Dacapo,h2,ZGC,100.00%,0.045,0.015,320,320,,,,,,,,,
Dacapo,h2,Serial,89.20%,1360,272,,,1360,272,520,520,,,614.5,1361.92,6.25
Dacapo,h2,Parallel,96.43%,410,103,,,410,103,160,160,,,1105.92,1361.92,6.25
Dacapo,h2,G1,95.80%,510,42.5,,,,,200,200,310,25.8,3276.8,2170.88,6.25
Dacapo,jython,ZGC,100.00%,0.053,0.0177,48,48,,,,,,,,,
Dacapo,jython,Serial,99.38%,160,40,,,160,40,50,50,,,614.5,1361.92,19.94
Dacapo,jython,Parallel,86.61%,3550,710,,,3550,710,30,30,,,597.5,1361.92,19.94
Dacapo,jython,G1,99.63%,90,30,,,,,50,50,40,5,688,1361.92,19.88
Dacapo,luindex,ZGC,100.00%,0.054,0.018,35.7,35.7,,,,,,,,,
Dacapo,luindex,Serial,99.96%,10,10,,,10,10,10,10,,,614.5,1361.92,3.69
Dacapo,luindex,Parallel,99.88%,20,10,,,20,10,20,20,,,597.5,1361.92,3.69
Dacapo,luindex,G1,99.74%,40,20,,,,,30,30,10,5,32,80,3.69
Dacapo,lusearch,ZGC,100.00%,0.05,0.0167,25.7,25.7,,,,,,,,,
Dacapo,lusearch,Serial,99.14%,20,6.67,,,20,6.67,,,,,614.5,1361.92,3
Dacapo,lusearch,Parallel,98.38%,40,10,,,40,10,10,10,,,597.5,1361.92,3
Dacapo,lusearch,G1,97.89%,50,16.7,,,,,20,20,30,5,704,384,3
Dacapo,pmd,ZGC,100.00%,0.051,0.017,21.6,21.6,,,,,,,,,
Dacapo,pmd,Serial,98.28%,110,55,,,110,55,10,10,,,614.5,1361.92,9.5
Dacapo,pmd,Parallel,98.91%,60,20,,,60,20,20,20,,,597.5,1361.92,9.5
Dacapo,pmd,G1,99.23%,60,30,,,,,30,30,30,4.29,256,832,9.5
Dacapo,sunflow,ZGC,100.00%,0.051,0.017,21.8,21.8,,,,,,,,,
Dacapo,sunflow,Serial,94.32%,100,20,,,100,20,10,10,,,614.5,1361.92,5.62
Dacapo,sunflow,Parallel,96.72%,80,16,,,80,16,20,20,,,1105.92,1361.92,5.62
Dacapo,sunflow,G1,93.41%,120,20,,,,,30,30,90,11.2,1085.44,624,5.62
Dacapo,tomcat,ZGC,100.00%,0.063,0.021,45.8,45.8,,,,,,,,,
Dacapo,tomcat,Serial,99.75%,120,30,,,120,30,40,40,,,614.5,1361.92,21
Dacapo,tomcat,Parallel,99.86%,60,15,,,60,15,20,20,,,597.5,1361.92,20.69
Dacapo,tomcat,G1,99.69%,120,20,,,,,60,60,60,10,656,1392.64,20.69
Dacapo,xalan,ZGC,100.00%,0.063,0.021,27.5,27.5,,,,,,,,,
Dacapo,xalan,Serial,99.46%,50,12.5,,,50,12.5,30,30,,,614.69,1361.92,7.38
Dacapo,xalan,Parallel,97.95%,40,10,,,40,10,20,20,,,1105.92,1361.92,7.31
Dacapo,xalan,G1,97.38%,50,12.5,,,,,20,20,30,5,720,464,7.31
