Benchmark Suite,Benchmark ,GC Algorithm,Heap Size,GC-Heap,Throughput,Total GC Time (ms),Avg GC Time (ms),Minor GC Total Time (ms),Minor GC Avg Time (ms),Full GC Total Time (ms),Full GC Avg Time (ms),Pause Total Time (ms),Pause Avg Time (ms),Young Generation Allocation (mb),Old Generation Allocation (mb),Meta Space Allocation (mb),Total Concurrent Time (ms),Avg Concurrent Time (ms)
Dacapo,avrora,G1,512,G1-512,99.79%,,,,,20.000,20.000,20.000,20.000,15.000,12.000,4.000,,
Dacapo,avrora,G1,1024,G1-1024,99.79%,,,,,20.000,20.000,20.000,20.000,13.000,11.000,4.000,,
Dacapo,avrora,G1,2048,G1-2048,99.80%,,,,,20.000,20.000,20.000,20.000,15.000,12.000,4.000,,
Dacapo,avrora,G1,4096,G1-4096,99.69%,,,,,30.000,30.000,30.000,30.000,26.000,14.000,4.000,,
Dacapo,avrora,Parallel,512,Parallel-512,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,149.500,341.500,4.000,,
Dacapo,avrora,Parallel,1024,Parallel-1024,99.69%,30.000,15.000,20.000,20.000,10.000,10.000,30.000,15.000,298.500,683.000,4.000,,
Dacapo,avrora,Parallel,2048,Parallel-2048,99.57%,40.000,20.000,20.000,20.000,20.000,20.000,40.000,20.000,597.500,1361.920,4.000,,
Dacapo,avrora,Parallel,4096,Parallel-4096,99.89%,10.000,5.000,10.000,10.000,0.000,0.000,10.000,5.000,597.500,1361.920,4.000,,
Dacapo,avrora,Serial,512,Serial-512,99.79%,20.000,20.000,0.000,0.000,20.000,20.000,20.000,20.000,153.560,341.380,4.000,,
Dacapo,avrora,Serial,1024,Serial-1024,99.69%,30.000,15.000,20.000,20.000,10.000,10.000,30.000,15.000,298.500,683.000,4.000,,
Dacapo,avrora,Serial,2048,Serial-2048,99.57%,40.000,20.000,20.000,20.000,20.000,20.000,40.000,20.000,597.500,1361.920,4.000,,
Dacapo,avrora,Serial,4096,Serial-4096,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,614.500,1361.920,4.000,,
Dacapo,avrora,ZGC,512,ZGC-512,100.00%,,,,,,,0.102,0.017,,,,33.000,16.500
Dacapo,avrora,ZGC,1024,ZGC-1024,100.00%,,,,,,,0.045,0.015,,,,21.400,21.400
Dacapo,avrora,ZGC,2048,ZGC-2048,100.00%,,,,,,,0.042,0.014,,,,22.500,22.500
Dacapo,avrora,ZGC,4096,ZGC-4096,100.00%,,,,,,,0.058,0.019,,,,27.300,27.300
Dacapo,batik,G1,512,G1-512,96.42%,,,,,20.000,20.000,93.400,15.600,51.000,217.000,0.000,,
Dacapo,batik,G1,1024,G1-1024,96.33%,,,,,20.000,20.000,93.800,13.400,48.000,476.000,0.000,,
Dacapo,batik,G1,2048,G1-2048,95.44%,,,,,20.000,20.000,114.000,16.200,51.000,985.000,0.000,,
