Benchmark Suite,Benchmark ,GC Algorithm,Throughput,Total Pause Time (ms),Avg Pause Time (ms),Total Concurrent Time (ms),Avg Concurrent Time (ms),Total GC Time (ms),Avg GC Time (ms),Full GC Total Time (ms),Full GC Avg Time (ms),Young GC Total Time (ms),Young GC Avg Time (ms),Young Generation Allocation (mb),Old Generation Allocation (mb),Meta Space Allocation (mb),,,,,,,,,
Renaissance,chi-square,ZGC,99.995%,3.09,0.0164,520,79.7,,,,,,,,,,,,,,,,,,
Renaissance,chi-square,Serial,73.579%,22500,90.7,,,22500,90.7,20520,331,,,614.5,1361.92,61.38,,,,,,,,,
Renaissance,chi-square,Parallel,88.475%,7910,60.4,,,7910,60.4,7300,118,,,3389.44,1361.92,61.31,,,,,,,,,
Renaissance,chi-square,G1,89.074%,8459,70.5,116,23.3,,,7340,122,1131,6.15,1505.28,928,61.38,,,,,,,,,
Renaissance,naive-bayes,ZGC,99.997%,5.83,0.02,25181,260,,,,,,,,,,,,,,,,,,
Renaissance,naive-bayes,Serial,89.328%,16370,26.8,,,16370,26.8,9170,235,,,1105.92,2457.6,123,,,,,,,,,
Renaissance,naive-bayes,Parallel,94.711%,8960,78.6,,,8960,78.6,6 sec,171,,,10219.52,2344.96,128.75,,,,,,,,,
Renaissance,naive-bayes,G1,97.376%,4795,59.9,140,17.5,,,3130,104,1721,11.4,11315.2,6379.52,129.44,,,,,,,,,
Renaissance,page-rank,ZGC,99.999%,1.31,0.0183,2494,104,,,,,,,,,,,,,,,,,,
Renaissance,page-rank,Serial,64.778%,65860,259,,,65860,259,8200,373,,,614.5,1361.92,68,,,,,,,,,
Renaissance,page-rank,Parallel,93.796%,8230,165,,,8230,165,1800,81.8,,,7413.76,1361.92,68.25,,,,,,,,,
Renaissance,page-rank,G1,91.346%,12131,53.7,6925,78.7,,,1650,82.5,11499,61.8,2385.92,1505.28,68.12,,,,,,,,,
