Benchmark Suite,Benchmark ,GC Algorithm,Heap Size,GC-Heap,Throughput,Total GC Time (ms),Avg GC Time (ms),Minor GC Total Time (ms),Minor GC Avg Time (ms),Full GC Total Time (ms),Full GC Avg Time (ms),Pause Total Time (ms),Pause Avg Time (ms),Young Generation Allocation,Old Generation Allocation,Meta Space Allocation,Total Concurrent Time (ms),Avg Concurrent Time (ms)
Renaissance,chi-square,G1,512,G1-512,87.76%,,,,,3380.000,56.300,13553.000,24.300,339.000,173.000,0.000,,
Renaissance,chi-square,G1,1024,G1-1024,93.07%,,,,,3390.000,56.500,4470.000,37.600,458.000,566.000,0.000,,
Renaissance,chi-square,G1,2048,G1-2048,93.01%,,,,,3480.000,58.000,4630.000,37.300,715.000,1331.200,0.000,,
Renaissance,chi-square,G1,4096,G1-4096,,,,,,,,,,,,,,
Renaissance,chi-square,Parallel,512,Parallel-512,82.78%,20170.000,15.600,12950.000,10.500,7220.000,116.000,20170.000,15.600,162.500,341.500,61.690,,
Renaissance,chi-square,Parallel,1024,Parallel-1024,86.50%,10160.000,11.300,1750.000,2.090,8410.000,136.000,10160.000,11.300,313.500,683.000,61.380,,
Renaissance,chi-square,Parallel,2048,Parallel-2048,86.74%,9800.000,17.500,1520.000,3.050,8280.000,134.000,9800.000,17.500,597.500,1361.920,61.380,,
Renaissance,chi-square,Parallel,4096,Parallel-4096,87.50%,960.000,25.400,120.000,3.460,840.000,130.000,960.000,25.400,1259.520,1361.920,61.380,,
Renaissance,chi-square,Serial,512,Serial-512,69.66%,44410.000,33.200,3440.000,26.700,10370.000,167.000,44410.000,33.200,153.560,341.380,61.690,,
Renaissance,chi-square,Serial,1024,Serial-1024,76.32%,19370.000,39.200,3670.000,8.500,15700.000,253.000,19370.000,39.200,307.190,682.690,61.380,,
Renaissance,chi-square,Serial,2048,Serial-2048,73.70%,22230.000,89.600,2240.000,12.000,19990.000,322.000,22230.000,89.600,614.380,1361.920,61.380,,
Renaissance,chi-square,Serial,4096,Serial-4096,73.32%,22570.000,91.000,2110.000,11.300,20460.000,330.000,22570.000,91.000,614.500,1361.920,61.380,,
Renaissance,chi-square,ZGC,512,ZGC-512,99.73%,,,,,,,380.000,0.110,,,,88654.000,76.800
Renaissance,chi-square,ZGC,1024,ZGC-1024,99.97%,,,,,,,24.100,0.015,,,,40532.000,75.200
Renaissance,chi-square,ZGC,2048,ZGC-2048,99.99%,,,,,,,9.730,0.015,,,,21241.000,100.000
Renaissance,chi-square,ZGC,4096,ZGC-4096,99.99%,,,,,,,5.190,0.017,,,,11120.000,106.000
Renaissance,naive-bayes,G1,512,G1-512,98.46%,,,,,1290.000,34.900,2453.000,11.500,339.000,173.000,0.000,,
Renaissance,naive-bayes,G1,1024,G1-1024,98.02%,,,,,1150.000,32.900,1902.000,12.300,641.000,383.000,0.000,,
