[0.017s][info][gc,init] CardTable entry size: 512
[0.017s][info][gc     ] Using G1
[0.025s][info][gc,init] Version: 20+36-2344 (release)
[0.025s][info][gc,init] CPUs: 48 total, 48 available
[0.025s][info][gc,init] Memory: 382G
[0.025s][info][gc,init] Large Page Support: Disabled
[0.025s][info][gc,init] NUMA Support: Disabled
[0.025s][info][gc,init] Compressed Oops: Enabled (32-bit)
[0.025s][info][gc,init] Heap Region Size: 1M
[0.025s][info][gc,init] Heap Min Capacity: 8M
[0.025s][info][gc,init] Heap Initial Capacity: 512M
[0.025s][info][gc,init] Heap Max Capacity: 512M
[0.025s][info][gc,init] Pre-touch: Disabled
[0.044s][info][gc,init] Parallel Workers: 33
[0.044s][info][gc,init] Concurrent Workers: 8
[0.044s][info][gc,init] Concurrent Refinement Workers: 33
[0.044s][info][gc,init] Periodic GC: Disabled
[0.045s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000800000000-0x0000000800c60000-0x0000000800c60000), size 12976128, SharedBaseAddress: 0x0000000800000000, ArchiveRelocationMode: 0.
[0.045s][info][gc,metaspace] Compressed class space mapped at: 0x0000000801000000-0x0000000841000000, reserved size: 1073741824
[0.045s][info][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.673s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.674s][info][gc,task     ] GC(0) Using 12 workers of 33 for evacuation
[0.678s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.1ms
[0.678s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.0ms
[0.678s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 2.8ms
[0.678s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.678s][info][gc,phases   ] GC(0)   Other: 0.5ms
[0.678s][info][gc,heap     ] GC(0) Eden regions: 25->0(29)
[0.678s][info][gc,heap     ] GC(0) Survivor regions: 0->4(4)
[0.678s][info][gc,heap     ] GC(0) Old regions: 0->2
[0.678s][info][gc,heap     ] GC(0) Archive regions: 0->0
[0.678s][info][gc,heap     ] GC(0) Humongous regions: 1->1
[0.678s][info][gc,metaspace] GC(0) Metaspace: 4907K(5056K)->4907K(5056K) NonClass: 4492K(4544K)->4492K(4544K) Class: 414K(512K)->414K(512K)
[0.678s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 26M->6M(512M) 4.434ms
[0.678s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[0.882s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
